BOX TYPE;BOX NAME;UNIQUE BOX NAME?;FULL BOX?;CONTAINER ?;
ftyp;FileTypeBox;1;0;0;
moov;MovieBox;1;0;1;
mvhd;MovieHeaderBox;1;1;0;
pdin;ProgressiveDownloadInfoBox;1;1;0;
free;FreeSpaceBox;0;0;0;
skip;FreeSpaceBox;0;0;0;
mdat;MediaDataBox;1;0;0;
trak;TrackBox;1;0;1;
tkhd;TrackHeaderBox;1;1;0;
tref;TrackReferenceBox;1;0;1;
hint;TrackReferenceTypeBox;0;0;0;
cdsc;TrackReferenceTypeBox;0;0;0;
hind;TrackReferenceTypeBox;0;0;0;
mdia;MediaBox;1;0;1;
mdhd;MediaHeaderBox;1;1;0;
hdlr;HandlerBox;1;1;0;
minf;MediaInformationBox;1;0;1;
vmhd;VideoMediaHeaderBox;1;1;0;
smhd;SoundMediaHeaderBox;1;1;0;
hmhd;HintMediaHeaderBox;1;1;0;
nmhd;NullMediaHeaderBox;1;1;0;
stbl;SampleTableBox;1;0;1;
stsd;SampleDescriptionBox;1;1;0;
pasp;PixelAspectRatioBox;1;0;0;
clap;CleanApertureBox;1;0;0;
btrt;BitRateBox;1;0;0;
stdp;DegradationPriorityBox;1;1;0;
stsl;SampleScaleBox;1;1;0;
stts;TimeToSampleBox;1;1;0;
ctts;CompositionOffsetBox;1;1;0;
stss;SyncSampleBox;1;1;0;
stsh;ShadowedSyncSampleBox;1;1;0;
sdtp;SampleDependencyTypeBox;1;1;0;
edts;EditBox;1;0;1;
elst;EditListBox;1;1;0;
dinf;DataInformationBox;1;0;1;
dref;DataReferenceBox;1;1;0;
url ;DataEntryUrlBox;1;1;0;
urn ;DataEntryUrnBox;1;1;0;
stsz;SampleSizeBox;1;1;0;
stz2;CompactSampleSizeBox;1;1;0;
stsc;SampleToChunkBox;1;1;0;
stco;ChunkOffsetBox;1;1;0;
co64;ChunkLargeOffsetBox;1;1;0;
padb;PaddingBitsBox;1;1;0;
subs;SubSampleInformationBox;1;1;0;
mvex;MovieExtendsBox;1;0;1;
mehd;MovieExtendsHeaderBox;1;1;0;
trex;TrackExtendsBox;1;1;0;
moof;MovieFragmentBox;1;0;1;
mfhd;MovieFragmentHeaderBox;1;1;0;
traf;TrackFragmentBox;1;0;1;
tfhd;TrackFragmentHeaderBox;1;1;0;
trun;TrackRunBox;1;1;0;
mfra;MovieFragmentRandomAccessBox;1;1;1;
tfra;TrackFragmentRandomAccessBox;1;1;0;
mfro;MovieFragmentRandomAccessOffsetBox;1;0;0;
sbgp;SampleToGroupBox;1;0;0;
udta;UserDataBox;1;0;1;
cprt;CopyrightBox;1;1;0;
tsel;TrackSelectionBox;1;1;0;
meta;MetaBox;1;1;1;
xml ;XMLBox;1;1;0;
bxml;BinaryXMLBox;1;1;0;
iloc;ItemLocationBox;1;1;0;
pitm;PrimaryItemBox;1;1;0;
ipro;ItemProtectionBox;1;1;0;
fdel;FDItemInfoExtension;1;0;0;
iinf;ItemInfoBox;1;1;0;
infe;ItemInfoEntry;1;1;0;
ilst;ItunesDescriptionBox;1;0;0;
avcC;AVCConfigurationBox;1;0;0;
meco;AdditionalMetadataContainerBox;1;0;1;
mere;MetaboxRelationBox;1;1;0;
sinf;ProtectionSchemeInfoBox;1;0;1;
frma;OriginalFormatBox;1;0;0;
imif;IPMPInfoBox;1;1;0;
ipmc;IPMPControlBox;1;0;0;
schm;SchemeTypeBox;1;1;1;
schi;SchemeInformationBox;1;0;0;
